,0
0,-0.0014484307
1,0.0140693495
2,-0.017921023
3,0.005458702
4,-0.002739325
5,-0.008500178
6,-0.04066855
7,-0.001509596
8,0.0055171326
9,-0.010214883
10,0.018511316
11,-0.0056275595
12,0.011624501
13,0.009063279
14,0.004017716
15,0.010630833
16,0.016985757
17,0.0030497056
18,0.015981736
19,0.0051170387
20,-0.002561898
21,0.015441241
22,-0.017901754
23,-0.0005649459
24,-0.023126082
25,0.01450687
26,-0.017857855
27,0.0147061655
28,-0.011047953
29,-0.018687207
30,0.0015968403
31,0.009289265
32,-0.017455613
33,0.008451956
34,-0.0017121815
35,0.007555645
36,0.011992844
37,-0.02840636
38,-0.017858142
39,0.014420419
40,0.00438069
41,-0.0008963194
42,-0.008012156
43,0.0019142685
44,0.017273104
45,-0.006885154
46,0.016203543
47,-0.014246484
48,-0.035587866
49,0.022550136
50,0.0014482379
51,0.00906409
52,-0.013830006
53,0.009940629
54,0.0117484145
55,0.01982264
56,-0.002916253
57,-0.00023246047
58,-0.026161052
59,0.008081707
60,-0.019687062
61,-0.0030369654
62,-0.0024645417
63,-0.016008241
64,-0.007597277
65,0.012158754
66,0.03850707
67,0.01373941
68,0.036803994
69,-0.018241378
70,0.029692248
71,0.011769531
72,0.013498268
73,-0.005414464
74,-0.013388317
75,-0.0032735215
76,0.021420851
77,-0.0051987516
78,-0.018576458
79,0.00054362026
80,-0.0018132594
81,0.0067572757
82,-0.0032550315
83,-0.015244401
84,0.014831572
85,0.0023697736
86,0.009698158
87,0.015798932
88,0.01126043
89,-0.032575075
90,0.0137569755
91,-0.0032354207
92,0.0007534632
93,0.03165792
94,0.011890381
95,0.016197946
96,0.013747106
97,-0.0031268897
98,-0.0059312084
99,-0.0017092591
100,-0.010079545
101,0.024816828
102,-0.022002658
103,0.023979453
104,-0.0011270937
105,-0.00899023
106,0.01576396
107,-0.00631412
108,-0.0055435663
109,0.02668843
110,0.027610015
111,0.0020896338
112,-0.0008217138
113,0.0032025252
114,-0.02522995
115,0.0023531981
116,0.007267418
117,-0.014779233
118,0.008379463
119,-0.013317182
120,0.019838149
121,0.018373983
122,-0.0038787806
123,-0.0042174105
124,0.00801619
125,0.002617513
126,-0.0036029618
127,0.014263939
128,0.0041153273
129,0.010748712
130,0.019203117
131,-0.0029495158
132,-0.0007924106
133,-0.016715337
134,-0.03002778
135,-0.0054944465
136,-0.014563467
137,-0.006117682
138,-0.0061373897
139,-0.011825609
140,0.0027895092
141,0.0026173794
142,0.018866964
143,-0.019477203
144,-0.012619949
145,0.013854971
146,0.004154683
147,-0.00729316
148,0.00036678123
149,-0.022669092
150,0.019132357
151,-0.005779947
152,0.0072760843
153,0.0036611664
154,0.010200951
155,-0.010736916
156,0.021432523
157,0.0147569
158,0.021680456
159,-0.0025257776
160,-0.028878095
161,-0.003983095
162,-0.014880074
163,-0.02112501
164,0.03159569
165,0.011746433
166,0.011895119
167,-0.0032013552
168,-0.00894729
169,-0.03468052
170,-0.028639263
171,-0.024235642
172,0.005044403
173,-0.01923295
174,-0.019863926
175,0.0033524253
176,0.026902203
177,-0.0069884984
178,-0.010098887
179,0.0075473064
180,-0.0072609773
181,0.010908662
182,0.012586714
183,-0.0057998104
184,-0.009774229
185,0.021768097
186,0.021257367
187,0.008156804
188,0.026394932
189,0.0028145434
190,-0.01610712
191,3.105254e-05
192,-0.038804617
193,-0.010090018
194,0.002036462
195,0.0029766385
196,0.0061988635
197,-0.0104639605
198,-0.011889675
199,-0.019114822
200,-0.003199476
201,-0.024792636
202,0.022601243
203,-0.018912315
204,0.01613521
205,-0.008692545
206,-0.00823092
207,0.008347537
208,0.002365592
209,-0.014093406
210,-0.0019510937
211,0.02504733
212,0.016311988
213,0.023639945
214,0.027758436
215,0.0071708784
216,-0.011682628
217,0.0002966445
218,0.012830605
219,-0.021338388
220,0.019972987
221,0.014189696
222,4.18381e-05
223,0.015393773
224,-0.00014240705
225,0.008914294
226,0.013345184
227,-0.00010292534
228,-0.026518738
229,-0.0005306173
230,-0.0060080723
231,-0.012813533
232,0.004817682
233,0.006532222
234,0.0034843518
235,-0.02209495
236,0.007442214
237,0.0047284854
238,-0.025690777
239,0.017656792
240,-0.047368657
241,0.011324298
242,-0.011786683
243,0.01253791
244,0.014303581
245,0.009437284
246,-0.019151445
247,-0.0029683628
248,0.006329023
249,-0.011846449
250,0.0059054177
251,0.013124752
252,0.0017323472
253,-0.0027929435
254,0.005365064
255,0.010283997
256,-0.016657665
257,-0.012845722
258,0.006960519
259,-0.012986403
260,0.03167309
261,0.010441352
262,0.0022216414
263,-0.0008466462
264,0.025194852
265,0.022794051
266,0.013411963
267,0.0014733784
268,0.0007647173
269,-0.008083905
270,0.020746365
271,-0.014531021
272,0.011710484
273,-0.0064394823
274,0.018262152
275,0.014706796
276,-0.02602941
277,0.00023689335
278,0.0037053423
279,0.0102181155
280,0.026300961
281,0.018639227
282,-0.009956915
283,-0.0046296325
284,-0.014679732
285,0.0016325018
286,-0.022250468
287,0.010111157
288,0.03365289
289,-0.008030589
290,0.011962129
291,-0.0014142753
292,0.015261352
293,-0.0037590412
294,0.014194473
295,-0.016794996
296,0.01293907
297,0.017551735
298,-0.008897068
299,0.0066826846
300,0.0037692133
301,0.005739427
302,0.013012292
303,-0.011290363
304,0.013916704
305,-0.02306001
306,-0.0028764913
307,0.013097215
308,-0.008650882
309,0.0075836955
310,0.003176664
311,-0.021601135
312,0.013716123
313,-0.012913166
314,-0.014464223
315,0.029675372
316,0.022592457
317,-0.018631833
318,-0.0017815394
319,0.0062971665
320,0.016896866
321,-0.00088400376
322,0.0068452265
323,0.012520289
324,-0.0034244433
325,-0.031934105
326,0.0016836834
327,-0.007190126
328,-0.0064106346
329,0.0013373806
330,0.023109723
331,-0.0056646676
332,0.0024859584
333,-0.022439629
334,-0.008272088
335,-0.010083875
336,-0.015492125
337,-0.0027755264
338,-0.0070173466
339,-0.0049498556
340,0.012998316
341,0.0044477433
342,0.008003318
343,-0.016757062
344,-0.0026512477
345,0.0032073404
346,0.0044132615
347,-0.032108665
348,-0.0068970495
349,-0.008357751
350,-0.027762175
351,-0.024514586
352,-0.024562886
353,-0.0026862966
354,-0.01757721
355,0.012234197
356,-0.016428173
357,-0.022834338
358,-0.00322477
359,0.028302966
360,-0.007025141
361,-0.006450972
362,-0.0035345561
363,-0.0033558977
364,0.012426741
365,-0.0011389544
366,0.0038923877
367,-0.007092344
368,-0.017124722
369,0.018599922
370,0.0034336129
371,0.010716799
372,0.013172184
373,0.027813068
374,0.0015345423
375,0.0122025
376,0.015676621
377,-0.029477345
378,-0.019320266
379,0.016356302
380,-0.012144914
381,0.005597213
382,0.015503681
383,0.0037051195
384,0.019306695
385,0.00083552476
386,0.0046808477
387,0.01994223
388,0.00435783
389,0.016753688
390,-0.0006962253
391,0.02233555
392,-0.017230028
393,-0.0047976905
394,-0.004043276
395,-0.01907187
396,0.005701129
397,0.024994012
398,0.02801777
399,-0.01360175
400,0.02165614
401,0.0011439641
402,-0.002265289
403,0.012997162
404,0.012833257
405,0.0068349186
406,-0.0009341623
407,-0.022450067
408,-0.0008658202
409,-0.0030964839
410,0.011844093
411,0.013310058
412,-0.009160152
413,-0.0091755325
414,-0.0052920384
415,0.0048828516
416,-0.01677542
417,0.034825377
418,-0.008176058
419,-0.004032328
420,-0.0038945018
421,-0.0050779236
422,0.014235213
423,0.013336015
424,-0.0029291033
425,0.015734894
426,0.017751837
427,-0.024453698
428,-0.016187008
429,0.018625772
430,0.02189082
431,0.028396327
432,-0.027230889
433,-0.015268235
434,0.015607642
435,0.0045826305
436,0.0031865693
437,-0.010910033
438,-0.008799296
439,0.012309102
440,0.011309221
441,-0.017279308
442,0.0071764993
443,0.00031368533
444,-0.0038142032
445,-0.025371825
446,-0.04368919
447,0.02171482
448,0.006598436
449,-0.012682861
450,0.00485041
451,0.020788195
452,-0.013792984
453,0.008413793
454,0.0033715977
455,0.016530324
456,0.014369336
457,0.016843285
458,0.019160375
459,0.019071393
460,-0.008370122
461,-0.00084048905
462,0.027942182
463,0.01618737
464,-0.008318371
465,-0.022221226
466,0.005454759
467,0.0068022837
468,-0.015556912
469,-0.022716414
470,-0.01736357
471,0.006426913
472,-0.02617786
473,0.012600059
474,0.0025929091
475,-0.005345886
476,-0.013381211
477,0.0040553324
478,-0.033456713
479,0.0007264782
480,0.02364095
481,-0.013362437
482,0.016912756
483,0.00078087737
484,0.011556438
485,0.01329049
486,-0.008034018
487,-0.010113846
488,0.020512322
489,0.002092337
490,0.029125037
491,0.01717599
492,0.017243437
493,-0.0066357423
494,-0.023962252
495,-0.012876022
496,0.00095237856
497,-0.018988071
498,-0.0037851634
499,0.01288297
500,-0.015568814
501,0.018795319
502,0.005193027
503,0.020726675
504,-0.026285065
505,0.002000455
506,0.007129853
507,-0.03474656
508,0.033439774
509,0.0026346738
510,0.025849612
511,0.011613332
512,-0.01762809
513,-0.013268503
514,0.012998186
515,0.0025447777
516,0.012737437
517,0.00094827835
518,-0.009164573
519,-0.019207984
520,-0.018761119
521,-0.007522434
522,0.009823632
523,-0.027836915
524,0.020352487
525,0.006165637
526,0.009487451
527,0.0043607187
528,-0.0082303
529,0.015123024
530,0.012134337
531,-0.0009598106
